
Files already downloaded and verified
Local client7 finished 0 training
Local client7 finished 1 training
Local client7 finished 2 training
Local client7 finished 3 training
Local client7 finished 4 training
Local client7 finished 5 training
Local client7 finished 6 training
Local client7 finished 7 training
Local client7 finished 8 training
Local client7 finished 9 training
Local client43 finished 0 training
Local client43 finished 1 training
Local client43 finished 2 training
Local client43 finished 3 training
Local client43 finished 4 training
Local client43 finished 5 training
Local client43 finished 6 training
Local client43 finished 7 training
Local client43 finished 8 training
Local client43 finished 9 training
Local client9 finished 0 training
Local client9 finished 1 training
Local client9 finished 2 training
Local client9 finished 3 training
Local client9 finished 4 training
Local client9 finished 5 training
Local client9 finished 6 training
Local client9 finished 7 training
Local client9 finished 8 training
Local client9 finished 9 training
Local client44 finished 0 training
Local client44 finished 1 training
Local client44 finished 2 training
Local client44 finished 3 training
Local client44 finished 4 training
Local client44 finished 5 training
Local client44 finished 6 training
Local client44 finished 7 training
Local client44 finished 8 training
Local client44 finished 9 training
Local client6 finished 0 training
Local client6 finished 1 training
Local client6 finished 2 training
Local client6 finished 3 training
Local client6 finished 4 training
Local client6 finished 5 training
Local client6 finished 6 training
Local client6 finished 7 training
Local client6 finished 8 training
Local client6 finished 9 training
Local client3 finished 0 training
Local client3 finished 1 training
Local client3 finished 2 training
Local client3 finished 3 training
Local client3 finished 4 training
Local client3 finished 5 training
Local client3 finished 6 training
Local client3 finished 7 training
Local client3 finished 8 training
Local client3 finished 9 training
Local client29 finished 0 training
Local client29 finished 1 training
Local client29 finished 2 training
Local client29 finished 3 training
Local client29 finished 4 training
Local client29 finished 5 training
Local client29 finished 6 training
Local client29 finished 7 training
Local client29 finished 8 training
Local client29 finished 9 training
Local client5 finished 0 training
Local client5 finished 1 training
Local client5 finished 2 training
Local client5 finished 3 training
Local client5 finished 4 training
Local client5 finished 5 training
Local client5 finished 6 training
Local client5 finished 7 training
Local client5 finished 8 training
Local client5 finished 9 training
Local client24 finished 0 training
Local client24 finished 1 training
Local client24 finished 2 training
Local client24 finished 3 training
Local client24 finished 4 training
Local client24 finished 5 training
Local client24 finished 6 training
Local client24 finished 7 training
Local client24 finished 8 training
Local client24 finished 9 training
Local client28 finished 0 training
Local client28 finished 1 training
Local client28 finished 2 training
Local client28 finished 3 training
Local client28 finished 4 training
Local client28 finished 5 training
Local client28 finished 6 training
Local client28 finished 7 training
Local client28 finished 8 training
Local client28 finished 9 training
Global model：Epoch0 has finished. Test_accuracy：23.42 loss: 2.43
Local client11 finished 0 training
Local client11 finished 1 training
Local client11 finished 2 training
Local client11 finished 3 training
Local client11 finished 4 training
Local client11 finished 5 training
Local client11 finished 6 training
Local client11 finished 7 training
Local client11 finished 8 training
Local client11 finished 9 training
Local client38 finished 0 training
Local client38 finished 1 training
Local client38 finished 2 training
Local client38 finished 3 training
Local client38 finished 4 training
Local client38 finished 5 training
Local client38 finished 6 training
Local client38 finished 7 training
Local client38 finished 8 training
Local client38 finished 9 training
Local client26 finished 0 training
Local client26 finished 1 training
Local client26 finished 2 training
Local client26 finished 3 training
Local client26 finished 4 training
Local client26 finished 5 training
Local client26 finished 6 training
Local client26 finished 7 training
Local client26 finished 8 training
Local client26 finished 9 training
Local client29 finished 0 training
Local client29 finished 1 training
Local client29 finished 2 training
Local client29 finished 3 training
Local client29 finished 4 training
Local client29 finished 5 training
Local client29 finished 6 training
Local client29 finished 7 training
Local client29 finished 8 training
Local client29 finished 9 training
Local client23 finished 0 training
