2022-08-24 03:58:52,017 INFO    MainThread:31676 [wandb_setup.py:_flush():76] Configure stats pid to 31676
2022-08-24 03:58:52,018 INFO    MainThread:31676 [wandb_setup.py:_flush():76] Loading settings from C:\Users\12137\.config\wandb\settings
2022-08-24 03:58:52,018 INFO    MainThread:31676 [wandb_setup.py:_flush():76] Loading settings from C:\Users\12137\Desktop\硕士毕业论文\论文！！!\FL example_Python_image_classification原\wandb\settings
2022-08-24 03:58:52,018 INFO    MainThread:31676 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2022-08-24 03:58:52,018 INFO    MainThread:31676 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'main.py'}
2022-08-24 03:58:52,018 INFO    MainThread:31676 [wandb_init.py:_log_setup():461] Logging user logs to C:\Users\12137\Desktop\硕士毕业论文\论文！！!\FL example_Python_image_classification原\wandb\run-20220824_035852-824elde6\logs\debug.log
2022-08-24 03:58:52,019 INFO    MainThread:31676 [wandb_init.py:_log_setup():462] Logging internal logs to C:\Users\12137\Desktop\硕士毕业论文\论文！！!\FL example_Python_image_classification原\wandb\run-20220824_035852-824elde6\logs\debug-internal.log
2022-08-24 03:58:52,019 INFO    MainThread:31676 [wandb_init.py:init():495] calling init triggers
2022-08-24 03:58:52,019 INFO    MainThread:31676 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {}
2022-08-24 03:58:52,019 INFO    MainThread:31676 [wandb_init.py:init():548] starting backend
2022-08-24 03:58:52,019 INFO    MainThread:31676 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2022-08-24 03:58:52,023 INFO    MainThread:31676 [backend.py:ensure_launched():217] starting backend process...
2022-08-24 03:58:52,094 INFO    MainThread:31676 [backend.py:ensure_launched():222] started backend process with pid: 71988
2022-08-24 03:58:52,095 INFO    MainThread:31676 [wandb_init.py:init():558] backend started and connected
2022-08-24 03:58:52,095 INFO    MainThread:31676 [wandb_init.py:init():634] updated telemetry
2022-08-24 03:58:52,100 INFO    MainThread:31676 [wandb_init.py:init():665] communicating run to backend with 30 second timeout
2022-08-24 03:58:53,783 INFO    MainThread:31676 [wandb_run.py:_on_init():1919] communicating current version
