2022-08-31 01:29:09,492 INFO    MainThread:20204 [wandb_setup.py:_flush():76] Configure stats pid to 20204
2022-08-31 01:29:09,493 INFO    MainThread:20204 [wandb_setup.py:_flush():76] Loading settings from C:\Users\12137\.config\wandb\settings
2022-08-31 01:29:09,493 INFO    MainThread:20204 [wandb_setup.py:_flush():76] Loading settings from C:\Users\12137\Desktop\硕士毕业论文\论文！！!\FL_image_classification\wandb\settings
2022-08-31 01:29:09,493 INFO    MainThread:20204 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2022-08-31 01:29:09,494 INFO    MainThread:20204 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'main.py'}
2022-08-31 01:29:09,494 INFO    MainThread:20204 [wandb_init.py:_log_setup():461] Logging user logs to C:\Users\12137\Desktop\硕士毕业论文\论文！！!\FL_image_classification\wandb\run-20220831_012909-1ii7x7h6\logs\debug.log
2022-08-31 01:29:09,494 INFO    MainThread:20204 [wandb_init.py:_log_setup():462] Logging internal logs to C:\Users\12137\Desktop\硕士毕业论文\论文！！!\FL_image_classification\wandb\run-20220831_012909-1ii7x7h6\logs\debug-internal.log
2022-08-31 01:29:09,494 INFO    MainThread:20204 [wandb_init.py:init():495] calling init triggers
2022-08-31 01:29:09,494 INFO    MainThread:20204 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {}
2022-08-31 01:29:09,494 INFO    MainThread:20204 [wandb_init.py:init():548] starting backend
2022-08-31 01:29:09,494 INFO    MainThread:20204 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2022-08-31 01:29:09,500 INFO    MainThread:20204 [backend.py:ensure_launched():217] starting backend process...
2022-08-31 01:29:09,577 INFO    MainThread:20204 [backend.py:ensure_launched():222] started backend process with pid: 25532
2022-08-31 01:29:09,577 INFO    MainThread:20204 [wandb_init.py:init():558] backend started and connected
2022-08-31 01:29:09,579 INFO    MainThread:20204 [wandb_init.py:init():634] updated telemetry
2022-08-31 01:29:09,583 INFO    MainThread:20204 [wandb_init.py:init():665] communicating run to backend with 30 second timeout
2022-08-31 01:29:11,296 INFO    MainThread:20204 [wandb_run.py:_on_init():1919] communicating current version
2022-08-31 01:29:11,431 INFO    MainThread:20204 [wandb_run.py:_on_init():1923] got version response upgrade_message: "wandb version 0.13.2 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-08-31 01:29:11,431 INFO    MainThread:20204 [wandb_init.py:init():700] starting run threads in backend
2022-08-31 01:29:16,457 INFO    MainThread:20204 [wandb_run.py:_console_start():1893] atexit reg
2022-08-31 01:29:16,459 INFO    MainThread:20204 [wandb_run.py:_redirect():1766] redirect: SettingsConsole.WRAP
2022-08-31 01:29:16,459 INFO    MainThread:20204 [wandb_run.py:_redirect():1803] Wrapping output streams.
2022-08-31 01:29:16,461 INFO    MainThread:20204 [wandb_run.py:_redirect():1827] Redirects installed.
2022-08-31 01:29:16,462 INFO    MainThread:20204 [wandb_init.py:init():732] run started, returning control to user process
2022-08-31 01:31:18,623 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set n_client = 50 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:31:18,627 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb n_client 50 None
2022-08-31 01:31:18,632 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set chosen_client = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:31:18,632 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb chosen_client 10 None
2022-08-31 01:31:18,632 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set global_epochs = 50 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:31:18,632 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb global_epochs 50 None
2022-08-31 01:31:18,632 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set local_epochs = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:31:18,632 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb local_epochs 10 None
2022-08-31 01:31:18,633 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set batch_size = 32 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:31:18,633 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb batch_size 32 None
2022-08-31 01:31:18,638 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set lr = 0.1 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:31:18,638 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb lr 0.1 None
2022-08-31 01:31:18,638 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set momentum = 0.9 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:31:18,638 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb momentum 0.9 None
2022-08-31 01:33:01,524 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set n_client = 50 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:33:01,524 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb n_client 50 None
2022-08-31 01:33:01,524 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set chosen_client = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:33:01,524 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb chosen_client 10 None
2022-08-31 01:33:01,524 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set global_epochs = 50 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:33:01,524 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb global_epochs 50 None
2022-08-31 01:33:01,524 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set local_epochs = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:33:01,525 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb local_epochs 10 None
2022-08-31 01:33:01,525 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set batch_size = 32 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:33:01,525 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb batch_size 32 None
2022-08-31 01:33:01,525 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set lr = 0.1 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:33:01,525 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb lr 0.1 None
2022-08-31 01:33:01,525 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set momentum = 0.9 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:33:01,525 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb momentum 0.9 None
2022-08-31 01:34:44,843 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set n_client = 50 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:34:44,843 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb n_client 50 None
2022-08-31 01:34:44,843 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set chosen_client = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:34:44,843 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb chosen_client 10 None
2022-08-31 01:34:44,844 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set global_epochs = 50 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:34:44,844 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb global_epochs 50 None
