2022-09-08 09:41:17,122 INFO    MainThread:4176 [wandb_setup.py:_flush():76] Configure stats pid to 4176
2022-09-08 09:41:17,123 INFO    MainThread:4176 [wandb_setup.py:_flush():76] Loading settings from C:\Users\12137\.config\wandb\settings
2022-09-08 09:41:17,123 INFO    MainThread:4176 [wandb_setup.py:_flush():76] Loading settings from C:\Users\12137\Desktop\source code\FL_image_classification备份\wandb\settings
2022-09-08 09:41:17,123 INFO    MainThread:4176 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2022-09-08 09:41:17,123 INFO    MainThread:4176 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'C:/Users/12137/Desktop/source code/FL_image_classification备份/main.py'}
2022-09-08 09:41:17,124 INFO    MainThread:4176 [wandb_init.py:_log_setup():461] Logging user logs to C:\Users\12137\Desktop\source code\FL_image_classification备份\wandb\run-20220908_094117-22uefrtb\logs\debug.log
2022-09-08 09:41:17,124 INFO    MainThread:4176 [wandb_init.py:_log_setup():462] Logging internal logs to C:\Users\12137\Desktop\source code\FL_image_classification备份\wandb\run-20220908_094117-22uefrtb\logs\debug-internal.log
2022-09-08 09:41:17,124 INFO    MainThread:4176 [wandb_init.py:init():495] calling init triggers
2022-09-08 09:41:17,124 INFO    MainThread:4176 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {}
2022-09-08 09:41:17,124 INFO    MainThread:4176 [wandb_init.py:init():548] starting backend
2022-09-08 09:41:17,124 INFO    MainThread:4176 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2022-09-08 09:41:17,129 INFO    MainThread:4176 [backend.py:ensure_launched():217] starting backend process...
2022-09-08 09:41:17,220 INFO    MainThread:4176 [backend.py:ensure_launched():222] started backend process with pid: 58596
2022-09-08 09:41:17,220 INFO    MainThread:4176 [wandb_init.py:init():558] backend started and connected
2022-09-08 09:41:17,221 INFO    MainThread:4176 [wandb_init.py:init():634] updated telemetry
2022-09-08 09:41:17,226 INFO    MainThread:4176 [wandb_init.py:init():665] communicating run to backend with 30 second timeout
2022-09-08 09:41:19,071 INFO    MainThread:4176 [wandb_run.py:_on_init():1919] communicating current version
2022-09-08 09:41:19,225 INFO    MainThread:4176 [wandb_run.py:_on_init():1923] got version response upgrade_message: "wandb version 0.13.2 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-09-08 09:41:19,225 INFO    MainThread:4176 [wandb_init.py:init():700] starting run threads in backend
2022-09-08 09:41:24,247 INFO    MainThread:4176 [wandb_run.py:_console_start():1893] atexit reg
2022-09-08 09:41:24,248 INFO    MainThread:4176 [wandb_run.py:_redirect():1766] redirect: SettingsConsole.WRAP
2022-09-08 09:41:24,248 INFO    MainThread:4176 [wandb_run.py:_redirect():1803] Wrapping output streams.
2022-09-08 09:41:24,250 INFO    MainThread:4176 [wandb_run.py:_redirect():1827] Redirects installed.
2022-09-08 09:41:24,250 INFO    MainThread:4176 [wandb_init.py:init():732] run started, returning control to user process
2022-09-08 09:43:21,598 INFO    MainThread:4176 [wandb_config.py:__setitem__():150] config set n_client = 50 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002D1CA82F220>>
2022-09-08 09:43:21,602 INFO    MainThread:4176 [wandb_run.py:_config_callback():1131] config_cb n_client 50 None
2022-09-08 09:43:21,604 INFO    MainThread:4176 [wandb_config.py:__setitem__():150] config set chosen_client = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002D1CA82F220>>
2022-09-08 09:43:21,604 INFO    MainThread:4176 [wandb_run.py:_config_callback():1131] config_cb chosen_client 10 None
2022-09-08 09:43:21,604 INFO    MainThread:4176 [wandb_config.py:__setitem__():150] config set global_epochs = 50 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002D1CA82F220>>
2022-09-08 09:43:21,604 INFO    MainThread:4176 [wandb_run.py:_config_callback():1131] config_cb global_epochs 50 None
2022-09-08 09:43:21,604 INFO    MainThread:4176 [wandb_config.py:__setitem__():150] config set local_epochs = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002D1CA82F220>>
2022-09-08 09:43:21,605 INFO    MainThread:4176 [wandb_run.py:_config_callback():1131] config_cb local_epochs 10 None
2022-09-08 09:43:21,605 INFO    MainThread:4176 [wandb_config.py:__setitem__():150] config set batch_size = 32 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002D1CA82F220>>
2022-09-08 09:43:21,605 INFO    MainThread:4176 [wandb_run.py:_config_callback():1131] config_cb batch_size 32 None
2022-09-08 09:43:21,610 INFO    MainThread:4176 [wandb_config.py:__setitem__():150] config set lr = 0.01 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002D1CA82F220>>
2022-09-08 09:43:21,610 INFO    MainThread:4176 [wandb_run.py:_config_callback():1131] config_cb lr 0.01 None
2022-09-08 09:43:21,610 INFO    MainThread:4176 [wandb_config.py:__setitem__():150] config set momentum = 0.9 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002D1CA82F220>>
2022-09-08 09:43:21,610 INFO    MainThread:4176 [wandb_run.py:_config_callback():1131] config_cb momentum 0.9 None
2022-09-08 09:45:35,871 INFO    MainThread:4176 [wandb_config.py:__setitem__():150] config set n_client = 50 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002D1CA82F220>>
2022-09-08 09:45:35,872 INFO    MainThread:4176 [wandb_run.py:_config_callback():1131] config_cb n_client 50 None
2022-09-08 09:45:35,873 INFO    MainThread:4176 [wandb_config.py:__setitem__():150] config set chosen_client = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002D1CA82F220>>
2022-09-08 09:45:35,873 INFO    MainThread:4176 [wandb_run.py:_config_callback():1131] config_cb chosen_client 10 None
2022-09-08 09:45:35,873 INFO    MainThread:4176 [wandb_config.py:__setitem__():150] config set global_epochs = 50 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002D1CA82F220>>
2022-09-08 09:45:35,873 INFO    MainThread:4176 [wandb_run.py:_config_callback():1131] config_cb global_epochs 50 None
2022-09-08 09:45:35,873 INFO    MainThread:4176 [wandb_config.py:__setitem__():150] config set local_epochs = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002D1CA82F220>>
2022-09-08 09:45:35,874 INFO    MainThread:4176 [wandb_run.py:_config_callback():1131] config_cb local_epochs 10 None
2022-09-08 09:45:35,874 INFO    MainThread:4176 [wandb_config.py:__setitem__():150] config set batch_size = 32 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002D1CA82F220>>
2022-09-08 09:45:35,874 INFO    MainThread:4176 [wandb_run.py:_config_callback():1131] config_cb batch_size 32 None
2022-09-08 09:45:35,874 INFO    MainThread:4176 [wandb_config.py:__setitem__():150] config set lr = 0.01 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002D1CA82F220>>
2022-09-08 09:45:35,874 INFO    MainThread:4176 [wandb_run.py:_config_callback():1131] config_cb lr 0.01 None
2022-09-08 09:45:35,874 INFO    MainThread:4176 [wandb_config.py:__setitem__():150] config set momentum = 0.9 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002D1CA82F220>>
2022-09-08 09:45:35,874 INFO    MainThread:4176 [wandb_run.py:_config_callback():1131] config_cb momentum 0.9 None
2022-09-08 09:47:58,381 INFO    MainThread:4176 [wandb_config.py:__setitem__():150] config set n_client = 50 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002D1CA82F220>>
2022-09-08 09:47:58,382 INFO    MainThread:4176 [wandb_run.py:_config_callback():1131] config_cb n_client 50 None
2022-09-08 09:47:58,382 INFO    MainThread:4176 [wandb_config.py:__setitem__():150] config set chosen_client = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002D1CA82F220>>
2022-09-08 09:47:58,382 INFO    MainThread:4176 [wandb_run.py:_config_callback():1131] config_cb chosen_client 10 None
2022-09-08 09:47:58,382 INFO    MainThread:4176 [wandb_config.py:__setitem__():150] config set global_epochs = 50 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002D1CA82F220>>
2022-09-08 09:47:58,382 INFO    MainThread:4176 [wandb_run.py:_config_callback():1131] config_cb global_epochs 50 None
2022-09-08 09:47:58,382 INFO    MainThread:4176 [wandb_config.py:__setitem__():150] config set local_epochs = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002D1CA82F220>>
2022-09-08 09:47:58,382 INFO    MainThread:4176 [wandb_run.py:_config_callback():1131] config_cb local_epochs 10 None
2022-09-08 09:47:58,382 INFO    MainThread:4176 [wandb_config.py:__setitem__():150] config set batch_size = 32 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002D1CA82F220>>
2022-09-08 09:47:58,383 INFO    MainThread:4176 [wandb_run.py:_config_callback():1131] config_cb batch_size 32 None
2022-09-08 09:47:58,383 INFO    MainThread:4176 [wandb_config.py:__setitem__():150] config set lr = 0.01 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002D1CA82F220>>
2022-09-08 09:47:58,383 INFO    MainThread:4176 [wandb_run.py:_config_callback():1131] config_cb lr 0.01 None
2022-09-08 09:47:58,383 INFO    MainThread:4176 [wandb_config.py:__setitem__():150] config set momentum = 0.9 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002D1CA82F220>>
2022-09-08 09:47:58,383 INFO    MainThread:4176 [wandb_run.py:_config_callback():1131] config_cb momentum 0.9 None
2022-09-08 09:50:27,137 INFO    MainThread:4176 [wandb_config.py:__setitem__():150] config set n_client = 50 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002D1CA82F220>>
